idno,speech-encoded,author-short,title-short,year,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0112,yes,CalcagnoF,CrimenesConcha,1869,Cuba,first,heterodiegetic,novela social,unknown
nh0113,no,GomezAvellanedaG,Sab,1841,Cuba,first,heterodiegetic,novela abolicionista,novela romántica
nh0114,no,BobadillaE,Fuego,1903,Cuba,modern,heterodiegetic,novela social,novela naturalista
nh0115,no,GomezAvellanedaG,Guatimozin,1846,Cuba,historical,heterodiegetic,novela histórica,novela romántica
nh0116,no,GomezAvellanedaG,VeladaHelecho,1845,Cuba,historical,heterodiegetic,novela histórica,novela romántica
nh0117,no,GomezAvellanedaG,Espatolino,1844,Cuba,historical,heterodiegetic,novela histórica,novela romántica
nh0118,no,VillaverdeC,Cecilia,1882,Cuba,historical,heterodiegetic,novela de costumbres,novela romántica
nh0119,yes,MartiJ,Amistad,1885,Cuba,modern,heterodiegetic,novela sentimental,novela modernista
nh0120,no,PaynoM,Fistol,1846,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0121,no,SuarezRomeroA,Francisco,1880,Cuba,modern,heterodiegetic,novela abolicionista,novela romántica
nh0122,no,RivaPalacioV,Muertos,1870,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0123,no,SylvaV,AsiSea,1893,Argentina,historical,autodiegetic,novela sentimental,unknown
nh0124,no,GomezAvellanedaG,ArtistaBarquero,1861,Cuba,modern,heterodiegetic,Künstlerroman,novela romántica
nh0125,no,RivaPalacioV,Calvario,1868,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0126,no,CaneMI,Sconner,1858,Argentina,modern,heterodiegetic,novela social,novela romántica
nh0127,yes,OcantosCM,Candidato,1893,Argentina,modern,heterodiegetic,novela política,novela realista
nh0128,no,PalmaPalmaE,HijaTutulXiu,1884,Mexico,modern,heterodiegetic,novela indigenista,unknown
nh0129,no,CuellarJT,Fuerenos,1883,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0130,no,AguilarV,Otilia,1887,Argentina,historical,heterodiegetic,novela sentimental,unknown
nh0131,no,CuellarJT,BaileCochino,1886,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0132,no,OteroR,CeciliaMatancera,1861,Cuba,historical,heterodiegetic,novela sentimental,unknown
nh0133,no,CampoValleA,Rumba,1891,Mexico,unknown,heterodiegetic,novela de costumbres,novela realista
nh0134,no,CasteraP,Querens,1890,Mexico,first,autodiegetic,novela científica,unknown
nh0135,yes,ZambranaVazquezF,Francisco,1873,Cuba,modern,heterodiegetic,novela de costumbres,novela realista
nh0136,no,AzuelaM,MariaLuisa,1907,Mexico,first,heterodiegetic,novela sentimental,novela naturalista
nh0137,no,MalpicaLaBarcaD,Cafetal,1890,Cuba,first,homodiegetic,novela de costumbres,unknown
nh0138,no,CuellarJT,GabrielCerrajero,1872,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0139,no,RoblesP,Plateados,1891,Mexico,unknown,heterodiegetic,novela histórica,unknown
nh0140,yes,GomezAvellanedaG,DosMujeres,1843,Cuba,first,heterodiegetic,novela sentimental,novela romántica
nh0141,no,CuellarJT,GentesAsi,1872,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0142,no,OlavarriaFerrariE,TalamoHorca,1868,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0143,no,OlavarriaFerrariE,VenganzaRemordimiento,1869,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0144,no,CuellarJT,IsolinaExFigurante,1871,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0145,no,CasteraP,DramasCorazon,1890,Mexico,first,heterodiegetic,novela sentimental,novela romántica
nh0146,no,AltamiranoIM,Julia,1870,Mexico,modern,autodiegetic,novela sentimental,novela romántica
nh0147,yes,PichardoE,Fatalista,1866,Cuba,first,heterodiegetic,novela de costumbres,novela romántica
nh0148,yes,OcantosCM,EntreLuces,1892,Argentina,first,heterodiegetic,novela política,novela realista
nh0149,yes,PazI,Marina,1883,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0150,no,LarrosaAnsaldoL,Esposos,1893,Argentina,first,heterodiegetic,novela histórica,novela romántica
nh0151,no,GuadalajaraJR,AmaliaPaginas,1891,Mexico,modern,autodiegetic,novela sentimental,novela romántica
nh0152,yes,PazI,Juarez,1904,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0153,no,AuberNoyaVF,Ambarina,1858,Cuba,first,heterodiegetic,novela doméstica,unknown
nh0154,no,AuberNoyaVF,Wilhelmina,1843,Cuba,first,heterodiegetic,novela sentimental,unknown
nh0155,no,SaldiasA,Bianchetto,1896,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0156,no,PazI,PiedraSacrificio,1871,Mexico,first,heterodiegetic,novela sentimental,novela romántica
nh0157,no,SierraMendezJ,Confesiones,1873,Mexico,first,autodiegetic,Künstlerroman,novela modernista
nh0158,no,EchaizJ,Paladin,1871,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0159,no,MateosJA,SolMayo,1868,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0160,no,BarredaR,PepaLarrica,1884,Argentina,first,heterodiegetic,novela histórica,unknown
nh0161,no,LopezVF,GranSemana,1896,Argentina,first,autodiegetic,novela histórica,novela romántica
nh0162,no,PazI,AmorDeViejo,1874,Mexico,modern,heterodiegetic,novela sentimental,novela romántica
nh0163,yes,MoruaDelgadoM,Unzuazu,1901,Cuba,first,heterodiegetic,novela social,novela naturalista
nh0164,no,GroussacP,FrutoVedado,1881,Argentina,historical,heterodiegetic,novela de costumbres,novela naturalista
nh0165,yes,SaladoAlvarezV,RanasRey,1903,Mexico,first,autodiegetic,novela histórica,novela realista
nh0166,no,BacardiMoreauE,ViaCrucis,1910,Cuba,modern,heterodiegetic,novela histórica,unknown
nh0167,no,PinaR,Geronimo,1857,Cuba,historical,heterodiegetic,novela moralista,novela romántica
nh0168,no,GomezAvellanedaG,Dolores,1851,Cuba,first,heterodiegetic,novela histórica,unknown
nh0169,no,VillaverdeC,Penitente,1889,Cuba,historical,homodiegetic,novela histórica,novela romántica
nh0170,no,CalcagnoF,Aponte,1901,Cuba,first,heterodiegetic,novela abolicionista,unknown
nh0171,no,CasteraP,Carmen,1882,Mexico,historical,autodiegetic,novela sentimental,novela romántica
nh0172,yes,LarrosaAnsaldoL,Lujo,1889,Argentina,first,heterodiegetic,novela de costumbres,novela romántica
nh0173,no,CamposRM,ClaudioOronoz,1906,Mexico,first,homodiegetic,novela de la ciudad,novela modernista
nh0174,no,RabasaE,CuartoPoder,1888,Mexico,modern,autodiegetic,novela política,novela realista
nh0175,no,RabasaE,MonedaFalsa,1888,Mexico,modern,autodiegetic,novela política,novela realista
nh0176,no,OlascoagaMJ,SargentoClaro,1898,Argentina,first,heterodiegetic,novela histórica,unknown
nh0177,no,DiazOlazabalR,BACosmopolita,1900,Argentina,first,heterodiegetic,novela de la ciudad,novela naturalista
nh0178,no,GorritiJM,GubiAmaya,1865,Argentina,historical,homodiegetic,novela social,novela romántica
nh0179,no,DominguezS,PerfilesMedallones,1886,Argentina,first,autodiegetic,novela de costumbres,novela naturalista
nh0180,no,AnconaE,Filibustero,1864,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0181,no,AnconaE,MartiresAnahuac,1870,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0182,no,AnconaE,MemoriasAlferez,1904,Mexico,modern,autodiegetic,novela histórica,novela romántica
nh0183,no,RiveraYRioJ,DramasNuevaYork,1869,Mexico,first,heterodiegetic,novela sentimental,novela romántica
nh0184,no,AlmazanJP,HerejeMusulman,1870,Mexico,modern,heterodiegetic,novela histórica,unknown
nh0185,no,HolmbergEL,ViajeMaravillosoNicNac,1875,Argentina,first,autodiegetic,novela científica,unknown
nh0186,yes,HolmbergEL,BolsaHuesos,1896,Argentina,first,autodiegetic,novela criminal,unknown
nh0187,yes,HolmbergEL,Nelly,1896,Argentina,historical,autodiegetic,novela sentimental,unknown
nh0188,no,VillaverdeC,Historia habanera,1840,Cuba,historical,heterodiegetic,novela sentimental,novela romántica
nh0189,no,HolmbergEL,TipoOriginal,1879,Argentina,modern,autodiegetic,novela científica,novela naturalista
nh0190,no,GamboaF,Apariencias,1892,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0191,yes,GamboaF,LaLlaga,1910,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0192,no,GamboaF,SupremaLey,1896,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0193,no,GamboaF,Reconquista,1908,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0194,no,GamboaF,Metamorfosis,1899,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0195,no,PellizaSagastaJ,Margarita,1875,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0196,no,PazI,AltezaSerenisima,1895,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0197,no,CuellarJT,ChuchoNinfo,1871,Mexico,modern,heterodiegetic,novela de costumbres,novela romántica
nh0198,no,RabasaE,GranCiencia,1887,Mexico,modern,autodiegetic,novela política,novela realista
nh0199,no,CuellarJT,Mariditos,1890,Mexico,modern,heterodiegetic,novela de costumbres,novela romántica
nh0200,no,VarelaLV,HuellaCrimen,1877,Argentina,modern,heterodiegetic,novela criminal,unknown
nh0201,no,GutierrezE,CarloLanza,1886,Argentina,historical,heterodiegetic,novela criminal,novela romántica
nh0202,yes,LopezPortilloJ,Precursores,1909,Mexico,modern,heterodiegetic,novela sentimental,novela realista
nh0203,no,RivaPalacioV,MonjaCasada,1868,Mexico,unknown,heterodiegetic,novela histórica,novela romántica
nh0204,no,AzuelaM,Fracasados,1908,Mexico,modern,heterodiegetic,novela política,novela realista
nh0205,no,AzuelaM,MalaYerba,1909,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0206,no,VarelaLV,Clemencia,1877,Argentina,modern,heterodiegetic,novela criminal,novela naturalista
nh0207,no,GuerreroPallaresT,Anatomia,1856,Cuba,historical,heterodiegetic,novela sentimental,unknown
nh0208,yes,SanchezMarmolM,AntonPerez,1903,Mexico,modern,heterodiegetic,novela histórica,novela realista
nh0209,no,SanchezMarmolM,Previvida,1906,Mexico,first,heterodiegetic,novela sentimental,unknown
