idno,enclitics,adjective,conjunction,determiner,noun,pronoun,adverb,adposition,verb,number,date,interjection,common,proper
nh0119,4,1,0,0,3,0,0,0,0,0,0,0,1,2
nh0120,53,3,0,0,41,0,0,0,9,0,0,0,15,26
nh0121,55,6,0,0,26,0,0,0,23,0,0,0,11,15
nh0122,151,18,0,0,97,0,0,0,36,0,0,0,37,60
nh0123,160,22,0,0,92,0,6,0,40,0,0,0,31,61
nh0124,63,5,0,0,51,0,0,0,7,0,0,0,12,39
nh0125,13,0,0,0,9,0,0,0,4,0,0,0,4,5
nh0126,3,0,0,0,3,0,0,0,0,0,0,0,2,1
nh0127,122,29,0,0,49,0,3,0,41,0,0,0,34,15
nh0128,159,23,0,0,107,0,0,0,29,0,0,0,25,82
nh0129,4,0,0,0,4,0,0,0,0,0,0,0,3,1
nh0130,32,5,0,0,19,0,0,0,8,0,0,0,4,15
nh0131,8,1,0,0,5,0,0,0,2,0,0,0,1,4
nh0132,23,0,0,0,17,0,1,0,5,0,0,0,6,11
nh0133,155,31,0,0,91,0,3,0,30,0,0,0,33,58
nh0134,121,16,0,0,88,0,0,0,17,0,0,0,47,41
nh0135,46,1,0,0,36,0,0,0,9,0,0,0,4,32
nh0136,43,16,0,0,23,0,1,0,3,0,0,0,16,7
nh0137,213,25,0,0,133,0,1,0,54,0,0,0,66,67
nh0138,14,1,0,0,12,0,1,0,0,0,0,0,2,10
nh0139,15,1,0,0,10,0,0,0,4,0,0,0,4,6
nh0140,224,15,0,0,136,0,0,0,73,0,0,0,54,82
nh0141,33,3,0,0,28,0,0,0,2,0,0,0,4,24
nh0142,154,38,0,0,78,0,0,0,38,0,0,0,30,48
nh0143,227,108,0,0,92,0,0,0,27,0,0,0,45,47
nh0144,11,1,0,0,10,0,0,0,0,0,0,0,1,9
nh0145,187,22,0,0,139,0,0,0,26,0,0,0,80,59
nh0146,8,1,0,0,7,0,0,0,0,0,0,0,1,6
nh0147,56,6,0,0,35,0,0,0,15,0,0,0,11,24
nh0148,137,26,0,0,66,0,5,0,40,0,0,0,35,31
nh0149,78,5,0,0,54,0,0,0,19,0,0,0,20,34
nh0150,198,33,0,0,71,0,3,0,91,0,0,0,60,11
nh0151,49,5,0,0,27,0,0,0,17,0,0,0,10,17
nh0152,14,1,0,0,7,0,0,0,6,0,0,0,5,2
nh0153,182,8,0,0,109,0,0,0,65,0,0,0,34,75
nh0154,15,1,0,0,13,0,0,0,1,0,0,0,3,10
nh0155,46,8,0,0,19,0,1,0,18,0,0,0,13,6
nh0156,9,1,0,0,5,0,0,0,3,0,0,0,5,0
nh0157,7,0,0,0,5,0,0,0,2,0,0,0,2,3
nh0158,79,8,0,0,63,0,1,0,7,0,0,0,16,47
nh0159,273,9,0,0,245,0,1,0,18,0,0,0,15,230
nh0160,280,62,0,0,103,0,11,0,104,0,0,0,41,62
nh0161,2,0,0,0,2,0,0,0,0,0,0,0,1,1
nh0162,4,0,0,0,2,0,0,0,2,0,0,0,1,1
nh0163,329,48,0,0,166,0,1,0,114,0,0,0,99,67
nh0164,93,8,0,0,57,0,0,0,28,0,0,0,26,31
nh0165,10,3,0,0,7,0,0,0,0,0,0,0,3,4
nh0166,501,87,0,0,277,0,3,0,134,0,0,0,164,113
nh0167,414,60,0,0,250,0,7,0,97,0,0,0,87,163
nh0168,18,0,0,0,14,0,0,0,4,0,0,0,4,10
nh0169,39,2,0,0,32,0,0,0,5,0,0,0,10,22
nh0170,28,5,0,0,22,0,0,0,1,0,0,0,9,13
nh0171,86,15,0,0,63,0,0,0,8,0,0,0,22,41
nh0172,278,61,0,0,116,0,1,0,100,0,0,0,77,39
