author-name,work-title,work-type,bibacme-work-id,cligs-idno,num-pages,num-words
"Elízaga, Lorenzo","Mauricio el ajusticiado o una persecución masónica ",novela,W1050,-,523,99893
"Esteva, José María","La campana de la misión",novela,W1055,-,306,58446
"Esteva, Roberto A.","Una mujer sin corazón",novela,W1056,-,22,4202
"Esteva, Roberto A.","El fruto prohibido",novela,W1059,-,84,16044
"Didapp, Juan Pedro","Proceso",novela,W1072,-,846,161586
"Calderón, Luis","Los novios",novela,W1079,-,270,51570
"Candelas, El tío","Los dos amantes o la venganza del rey",novela,W1086,-,160,30560
"Carrillo, Álvaro","Xochitl, La reina azteca",novela,W1087,-,1751,334441
"Castillo, I. D. del","La prostitución o consecuencias de un mal ejemplo ",novela,W1106,-,131,25021
"Castrejón, Eduardo A.","Los cuarenta y uno",novela,W1111,-,167,31897
"Castro, Juan S.","Fray Antonio de la Concepción",novela,W1112,-,71,13561
"Ceniceros y Villarreal, Rafael","La siega",novela,W1116,-,290,55390
"Ceniceros y Villarreal, Rafael","El hombre nuevo",novela,W1117,-,237,45267
"Cordero, Juan N.","Inri",novela,W1118,-,494,94354
"Cuéllar, José Tomás de","El Pecado del Siglo",novela,W1124,-,580,110780
"Cuéllar, José Tomás de","Las jamonas",novela,W1128,-,351,67041
"Cuéllar, José Tomás de","La noche buena",novela,W1134,-,82,15662
"Curtis, Carlos Daniel","Mirtilo",novela,W1139,-,178,33998
"Balbontín, Manuel","Inés",novela,W1145,-,152,29032
"Balbontín, Manuel","Tulitas la Pelona",novela,W1146,-,88,16808
"Barragán de Toscano, Refugio","Premio del Bien y Castigo del Mal",novela,W1147,-,134,25594
"Barragán de Toscano, Refugio","La Hija del Bandido o los Subterráneos del Nevado ",novela,W1148,-,301,57491
"Barrera, Pantaleón","Los Misterios de Chan Santa Cruz",novela,W1149,-,144,27504
"Blanco, Manuel","El Capitán Armando",novela,W1166,-,703,134273
"Blanco, Manuel","El Secreto de una Crónica",novela,W1167,-,560,106960
"Alegría, Adolfo Isaac","La Luz en las tinieblas",novela,W1172,-,98,18718
